File;Image ID;Objects ch1;Mean size in ch1;Mean surface in ch1;Mean length in ch1;Objects ch2;Mean size in ch2;Mean surface in ch2;Mean length in ch2;Colocalization ch1 in ch2 (signal based);Colocalization ch2 in ch1 (signal based);Colocalization ch1 in ch2 (size based);Colocalization ch2 in ch1 (size based);Colocalization ch1 in ch2 (objects numbers);Colocalization ch2 in ch1 (objects numbers);Mean ch2 intensity of ch1 objects;Mean ch1 intensity of ch2 objects;Pearson correlation;Pearson correlation inside cell masks
%Parameters: background removal  true window size 50 stddev PSF xy  0.63 stddev PSF z  1.0 Regularization 0.2 0.02 Min intensity ch1 0.03 Min intensity ch2 0.06 subpixel false Cell mask ch1 false mask threshold ch1 0.0015 Cell mask ch2 false mask threshold ch2 0.0015 Intensity estimation Automatic Noise model Poisson;
1 Ctrl 1.tif;0;10;158.9;52.4;12.0;17;8.9411;13.2352;1.8235;0.02;0.1106;0.0177;0.1906;0.0;0.2352;0.0023;0.0832;-0.0169;-0.0169
1 Ctrl 2.tif;1;17;23.5294;18.7058;3.2352;28;16.0714;18.1071;3.25;0.1622;0.1083;0.137;0.122;0.0588;0.0714;0.045;0.0866;-0.0649;-0.0649
1 Ctrl 3.tif;2;13;65.3076;31.5384;6.923;23;14.1739;17.913;2.913;0.053;0.1012;0.0524;0.1378;0.0;0.0434;0.0231;0.0797;-0.0719;-0.0719
2 OA1.tif;3;13;192.6153;54.5384;6.923;16;43.8125;30.6875;3.625;0.0274;0.0763;0.0233;0.084;0.0;0.125;0.0052;0.0637;-0.0561;-0.0561
2 OA2.tif;4;10;313.2;63.9;9.4;10;34.0;27.6;4.9;0.001;0.0114;9.0E-4;0.0088;0.0;0.0;0.0019;0.0087;-0.0945;-0.0945
2 OA4.tif;5;12;281.5;69.1666;6.8333;8;15.75;17.25;1.75;0.0;0.0;0.0;0.0;0.0;0.0;0.001;0.0185;-0.0331;-0.0331
3 Ctrl1.tif;6;3;34.0;25.0;3.3333;6;24.1666;22.6666;2.6666;0.0104;0.0057;0.0098;0.0068;0.0;0.0;0.0424;0.0117;0.0508;0.0508
3 Ctrl2.tif;7;4;36.75;29.0;4.25;17;15.3529;17.8823;2.4117;0.0;0.0;0.0;0.0;0.0;0.0;0.0216;0.0033;-0.048;-0.048
3 Ctrl3.tif;8;11;15.7272;16.8181;1.8181;20;15.75;18.65;3.95;0.0768;0.0445;0.1038;0.057;0.0909;0.0;0.0634;0.0256;0.0161;0.0161
4 OA1.tif;9;5;84.0;38.6;3.6;22;5.1818;9.3636;1.7272;0.0603;0.2545;0.0591;0.2192;0.0;0.0454;0.0214;0.0475;0.0644;0.0644
4 OA3.tif;10;6;112.1666;47.5;9.8333;8;15.25;17.25;2.875;0.091;0.5999;0.0936;0.5163;0.0;0.125;0.0346;0.0864;0.2223;0.2223
4 OA4.tif;11;6;27.3333;19.8333;4.3333;15;3.3333;7.5333;1.5333;0.0151;0.0632;0.0117;0.04;0.0;0.1333;0.0072;0.0999;0.0233;0.0233
